"Site","Date....as.Date.character....format.....Y..m..d..","Time....character..","Name....character..","File_Start_Time....character..","File_End_Time....character..","bioacoustic....double..","amplitude....double..","temporal_entropy....double..","spectral_entropy....double..","acoustic_entropy....double..","acoustic_diversity....double..","acoustic_evenness....double..","acoustic_complexity....double..","nrows....integer..","ndsi....double..","cluster..nine..clusters","cluster..fifteen..clusters"
"Audubon_Society","2019-04-18","11:12:36","Audubon_Society_S4A07275_20190418_111236.wav",0,5,101.013231915228,0.0983094284585274,0.972480145619232,0.814295966114337,0.791886659704023,1.811299,0.514931,196.684377707814,1,0.47991055465098,7,5
"Audubon_Society","2019-04-18","11:17:36","Audubon_Society_S4A07275_20190418_111236.wav",5,10,113.443315505746,0.113356003739927,0.973018413607838,0.808070841574242,0.78626780835132,1.767159,0.539738,201.106030427107,0,0.857967202953385,7,5
"Audubon_Society","2019-04-18","11:22:36","Audubon_Society_S4A07275_20190418_111236.wav",10,15,125.196564099677,0.203630856091078,0.982015512107228,0.794550789201607,0.780261200153019,1.744127,0.557559,196.878489249653,0,0.591171929424079,7,5
"Audubon_Society","2019-04-18","11:27:36","Audubon_Society_S4A07275_20190418_111236.wav",15,20,147.632909342717,0.161432385675231,0.984837841829584,0.775454690497196,0.763697123825887,1.768792,0.530202,211.826805537073,0,0.849788988671591,7,2
"Audubon_Society","2019-04-18","11:32:36","Audubon_Society_S4A07275_20190418_111236.wav",20,25,120.646208652041,0.18025169981634,0.982637211322082,0.797290959910226,0.78344776545849,1.733753,0.558135,199.543796164396,1,0.548325931593478,7,5
"Audubon_Society","2019-04-18","11:37:36","Audubon_Society_S4A07275_20190418_111236.wav",25,30,150.632038233739,0.098762611441704,0.980965744145415,0.799780354063055,0.784557130176348,1.580442,0.617017,191.533741973368,0,0.719253005688715,7,2
"Audubon_Society","2019-04-18","11:42:36","Audubon_Society_S4A07275_20190418_111236.wav",30,35,122.960606585867,0.134715915343396,0.979883545794514,0.835139986780653,0.81833993148141,1.791841,0.530058,199.316208396038,0,0.622826862130158,7,5
"Audubon_Society","2019-04-18","11:47:36","Audubon_Society_S4A07275_20190418_111236.wav",35,40,115.155271577816,0.165305675858519,0.974572463537021,0.787819560442429,0.767787249843031,1.642671,0.600189,197.251675661864,0,0.567587981601699,7,5
"Audubon_Society","2019-04-18","11:52:36","Audubon_Society_S4A07275_20190418_111236.wav",40,45,137.10048125589,0.16045849140542,0.985114952674503,0.812362281429337,0.800270230424812,1.836772,0.501946,205.85444128434,1,0.724492782939175,7,2
"Audubon_Society","2019-04-18","12:0:0","Audubon_Society_S4A07275_20190418_120000.wav",0,5,144.006068167919,0.119258433256844,0.982992264768549,0.786905723452517,0.773522239255923,1.632543,0.605438,195.594259073946,0,0.550745629401178,7,2
"Audubon_Society","2019-04-18","12:5:0","Audubon_Society_S4A07275_20190418_120000.wav",5,10,136.982595929151,0.151363135673375,0.982804803069327,0.785795179060316,0.7722832762092,1.527412,0.638602,193.441746858819,0,0.550821144698999,7,2
"Audubon_Society","2019-04-18","12:10:0","Audubon_Society_S4A07275_20190418_120000.wav",10,15,137.576994139859,0.145376923390351,0.983267222292019,0.822094850231791,0.808338919847986,1.655324,0.592733,198.972082529084,0,0.672159614976649,7,2
"Audubon_Society","2019-04-18","12:15:0","Audubon_Society_S4A07275_20190418_120000.wav",15,20,156.820751501656,0.140042667100719,0.981572817161203,0.816419478474694,0.801375167471685,1.799036,0.526808,196.934000837627,1,0.5807820464087,7,2
"Audubon_Society","2019-04-18","12:20:0","Audubon_Society_S4A07275_20190418_120000.wav",20,25,153.580162070252,0.149358482001067,0.985452191421183,0.795682230812369,0.784106798028944,1.647159,0.597755,188.045212011085,0,0.143867289999911,3,2
