"Site","Date....as.Date.character....format.....Y..m..d..","Time....character..","bioacoustic....double..","amplitude....double..","temporal_entropy....double..","acoustic_entropy....double..","acoustic_diversity....double..","acoustic_complexity....double..","nrows....double..","ndsi....double..","proximity_percentage","hypothetical_cluster"
"S4A07341_20200425_150748.wav","2020-04-25","15:7:48",-0.0373925620096689,0.491494653889311,-1.37834025057751,-0.221218831158515,-1.0489084748331,-0.252292946432911,-0.388982380175659,0.0115032739339695,0.159400544959128,9
"S4A07341_20200425_150748.wav","2020-04-25","15:12:48",0.0243581582691671,0.632209155923935,-2.36493930374761,-0.904553006344564,-0.979427109174577,-0.151538030638899,-0.388982380175659,0.148034881881079,0.366485013623978,9
"S4A07341_20200425_150748.wav","2020-04-25","15:17:48",-0.0318808279944344,0.942119657504345,-1.7675388792865,-0.866686132432024,-1.10387138172756,-0.543654032580382,-0.388982380175659,-0.538242601234491,0.29700272479564,9
"S4A07341_20200425_150748.wav","2020-04-25","15:22:48",0.0838534573097668,0.723275755505898,-1.6559799763232,-0.00614789150193268,-0.995110379478519,-0.399434623241521,-0.388982380175659,-0.342320507263113,0.386239782016349,9
"S4A07341_20200425_150748.wav","2020-04-25","15:27:48",-0.263959876951916,1.65325759983791,-3.51281018624977,-1.43946309679717,-1.1344089766997,-0.315808741591743,-0.388982380175659,-0.218781644058256,0.965599455040872,9
"S4A07341_20200425_150748.wav","2020-04-25","15:32:48",-0.1628274481222,-0.375834888314422,0.133196560165937,-0.177260448657483,-0.998854927005523,-0.36430708198354,-0.388982380175659,-0.415116513080228,0.720027247956403,3
"S4A07341_20200425_150748.wav","2020-04-25","15:37:48",0.209724598237964,0.5699023088206,-3.39029561030422,-0.881844923581448,-1.09652997239027,-0.121096386427733,-0.388982380175659,0.0856832833185021,0.866825613079019,9
"S4A07341_20200425_150748.wav","2020-04-25","15:42:48",0.0652286375170117,0.13986680232876,-1.24342704874391,-0.498363219822538,-1.04559031026241,0.0193628929581756,-0.388982380175659,0.0364997800692324,0.0316757493188011,9
"S4A07341_20200425_150748.wav","2020-04-25","15:47:48",0.370250780524394,-0.101126636195923,-1.07214836406475,-0.0223893567465568,-0.487150120896392,0.441643665112157,-0.388982380175659,1.12406819599789,0.738079019073569,9
"S4A07341_20200425_150748.wav","2020-04-25","15:52:48",1.09751910986122,-0.17967009107991,0.136641615015978,0.604861288345523,0.362433402749595,1.25948091137461,-0.388982380175659,1.15646041175444,0.992506811989101,1
"S4A07341_20200425_150748.wav","2020-04-25","15:57:48",0.930509032385129,1.71506984946296,-2.23424665348699,-0.329584029742477,-0.485139689526931,0.648422123280618,-0.388982380175659,1.26846190609383,0.961512261580381,9
"S4A07341_20200425_160742.wav","2020-04-25","16:7:42",0.536613842489678,0.269177510281239,-0.983059215882882,1.93332446117819,2.15267251467259,3.98712744470806,-0.388982380175659,1.91618886842063,1,4
"S4A07341_20200425_160742.wav","2020-04-25","16:12:42",0.168411814153898,1.41657073390552,-1.97555808636824,-0.599033711526272,-1.1076945361683,-0.184886576212923,-0.388982380175659,-0.387793764246726,0.534059945504087,9
"S4A07341_20200425_160742.wav","2020-04-25","16:17:42",0.418102233882788,0.532769090597299,-2.38484237279433,-0.626637617836985,-0.948927626645465,0.16178192315972,-0.388982380175659,0.145784253030303,0.411784741144414,9
"S4A07341_20200425_160742.wav","2020-04-25","16:22:42",0.540956893463819,0.224365784992076,-2.04927406227807,-0.841167765833682,-0.753451288408467,-0.00202564889048423,-0.388982380175659,0.606313285059231,0.435286103542234,9
"S4A07341_20200425_160742.wav","2020-04-25","16:27:42",-0.191496656887362,0.309606624047326,-1.03160700669,-0.657731805521419,-1.09582489219434,-0.0981023812569916,-0.388982380175659,-0.562990163339554,0.0173705722070845,9
"S4A07341_20200425_160742.wav","2020-04-25","16:32:42",-0.160342123743313,0.414474085828976,-2.28668041463035,-0.771943900524372,-1.10869022374227,-0.273531986311324,-0.388982380175659,-0.506978091695789,0.260899182561308,9
"S4A07341_20200425_160742.wav","2020-04-25","16:37:42",0.238039764579695,0.0838460823845222,-0.240775411547891,0.195933212215011,-0.71683952282955,-0.0746278390432802,2.48437651572045,-0.272252625647939,0.990463215258856,3
"S4A07341_20200425_160742.wav","2020-04-25","16:42:42",0.290238828585477,0.827299589369451,-1.3472845438066,-0.248763425545598,-0.861140378197488,-0.146343319344868,-0.388982380175659,0.510780974957391,0.431880108991826,9
"S4A07341_20200425_160742.wav","2020-04-25","16:47:42",-0.00204957972779565,0.254093309969172,-1.26310563843638,-0.122098989883541,-0.990965651299773,-0.440490138098985,-0.388982380175659,-0.297124957221777,0.211171662125341,9
"S4A07341_20200425_160742.wav","2020-04-25","16:52:42",0.878278069340778,-0.0898373003044759,-0.380676418498947,0.852307799098246,0.960177048983026,1.19060966721886,-0.388982380175659,1.89750176596218,0.997615803814714,1
"S4A07341_20200425_160742.wav","2020-04-25","16:57:42",0.563404901918605,1.1639380920019,-2.18977235363175,-0.0285848491584114,-0.241136683210968,0.603799569624863,-0.388982380175659,-0.636941767016532,0.733310626702997,9
"S4A07341_20200425_170743.wav","2020-04-25","17:7:43",0.457326830592033,2.79874998913865,-2.63533901512526,-0.481864435790395,-0.952350600434463,-0.0220139051807761,-0.388982380175659,-0.111777100756257,0.983310626702997,9
"S4A07341_20200425_170743.wav","2020-04-25","17:12:43",0.59122664600907,1.54542787771595,-2.66216328835216,-0.75980102836315,-0.510453497777234,0.249661839230042,-0.388982380175659,-0.00973614973561373,0.822547683923706,9
